tempo,direita,esquerda
535,33.871,34.175
536,33.772,34.129
537,33.81,34.035
538,33.824,34.054
539,33.824,34.077
540,33.786,34.157
541,33.847,34.124
542,33.913,34.161
543,33.852,34.044
544,33.829,34.11
545,33.829,34.166
546,33.894,34.189
547,33.927,34.091
548,33.936,34.138
549,33.871,34.138
550,33.838,33.974
551,33.871,34.129
552,33.875,34.171
553,33.791,34.077
554,33.824,34.091
555,33.904,34.255
556,33.871,34.222
557,33.89,34.194
558,33.927,34.133
559,33.857,34.119
560,33.805,34.04
561,33.904,34.147
562,33.908,34.133
563,33.946,34.175
564,33.894,34.175
565,33.936,34.161
566,33.904,34.171
567,33.866,34.175
568,33.805,34.208
569,33.866,34.232
570,33.871,34.189
571,33.857,34.152
572,33.857,34.147
573,33.861,34.124
574,33.847,34.077
575,33.908,34.044
576,33.814,34.096
577,33.8,34.105
578,33.852,34.189
579,33.819,34.152
580,33.814,34.18
581,33.866,34.175
582,33.875,34.119
583,33.875,34.133
584,33.814,34.138
585,33.829,34.124
586,33.852,34.072
587,33.88,34.086
588,33.857,34.068
589,33.875,34.063
590,33.861,34.091
591,33.847,34.129
592,33.847,34.082
593,33.88,34.129
594,33.852,34.105
595,33.838,34.161
596,33.829,34.138
597,33.894,34.091
598,33.885,34.175
599,33.871,34.147
600,33.814,34.016
601,33.814,34.058
602,33.838,34.058
603,33.8,34.115
604,33.852,34.147
605,33.843,34.11
606,33.875,34.03
607,33.786,34.096
608,33.782,34.105
609,33.777,34.077
610,33.688,34.03
611,33.833,34.011
612,33.763,34.096
613,33.744,34.035
614,33.767,34.058
615,33.753,34.011
616,33.782,33.965
617,33.791,34.03
618,33.814,34.035
619,33.838,34.091
620,33.735,34.063
621,33.805,34.082
622,33.805,34.077
623,33.796,34.077
624,33.81,34.04
625,33.88,34.035
626,33.894,34.011
627,33.847,34.054
628,33.814,34.016
629,33.744,33.969
630,33.697,34.03
631,33.814,34.011
632,33.814,34.054
633,33.711,34.021
634,33.824,34.058
635,33.824,34.157
636,33.852,34.152
637,33.744,34.058
638,33.791,34.068
639,33.805,33.988
640,33.871,33.969
641,33.861,34.016
642,33.725,34.063
643,33.758,34.086
644,33.871,34.119
645,33.805,34.115
646,33.763,34.091
647,33.777,33.988
648,33.866,34.082
649,33.833,34.096
650,33.819,34.021
651,33.763,34.035
652,33.847,34.002
653,33.758,34.096
654,33.805,34.054
655,33.739,34.147
656,33.782,34.105
657,33.814,33.969
658,33.824,34.058
659,33.852,34.054
660,33.833,34.035
661,33.899,34.086
662,33.833,34.077
663,33.819,34.086
664,33.814,34.086
665,33.81,34.016
666,33.758,34.063
667,33.824,34.063
668,33.894,34.166
669,33.913,34.157
670,33.838,34.133
671,33.852,34.115
672,33.89,34.058
673,33.875,34.1
674,33.904,34.133
675,33.936,34.199
676,33.829,34.143
677,33.81,34.175
678,33.918,34.185
679,33.857,34.133
680,33.885,34.124
681,33.866,34.086
682,33.946,34.171
683,33.875,34.152
684,33.875,34.199
685,33.885,34.208
686,33.96,34.171
687,33.922,34.161
688,33.866,34.18
689,33.805,34.072
690,33.838,34.129
691,33.866,34.1
692,33.814,34.03
693,33.857,34.096
694,33.89,34.044
695,33.932,34.213
696,33.922,34.105
697,33.8,34.082
698,33.791,34.007
699,33.885,34.086
700,33.711,34.096
701,33.8,34.096
702,33.852,34.077
703,33.777,34.138
704,33.847,34.119
705,33.819,34.115
706,33.838,34.068
707,33.833,34.105
708,33.772,34.11
709,33.753,34.157
710,33.786,34.044
711,33.763,34.1
712,33.73,34.082
713,33.767,34.105
714,33.772,34.063
715,33.753,34.077
716,33.786,33.932
717,33.683,33.927
718,33.612,33.974
719,33.772,34.016
720,33.81,34.03
721,33.744,33.96
722,33.716,33.969
723,33.641,33.941
724,33.706,33.969
725,33.702,33.885
726,33.664,33.974
727,33.688,33.974
728,33.706,33.997
729,33.735,34.007
730,33.772,33.946
731,33.777,33.946
732,33.763,33.946
733,33.678,33.96
734,33.65,33.993
735,33.706,33.955
736,33.697,33.946
737,33.711,33.927
738,33.749,33.922
739,33.8,33.951
740,33.744,33.997
741,33.777,33.979
742,33.655,33.866
743,33.749,33.974
744,33.725,33.946
745,33.735,33.829
746,33.735,33.965
747,33.735,33.974
748,33.739,33.899
749,33.735,33.979
750,33.664,33.866
751,33.688,33.974
752,33.603,33.885
753,33.664,33.955
754,33.72,33.946
755,33.65,33.932
756,33.626,33.913
757,33.753,33.951
